Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
32,1,2,,1,3,4,1,1,1,,2,2,,,,1,1,,,,2,
5,4,1,,,,1,,5,,,,,,,,,,,,,,
3,,14,3,1,1,,,1,,,,,1,,,,,,,,,
1,,,4,7,1,1,,,,3,1,1,,,,,,,,,,
5,,2,3,13,,,1,1,,,,9,,,,,,,,,1,
12,1,2,,1,23,4,2,1,,,,1,,1,1,,,1,1,1,1,
11,,,,1,4,10,3,1,1,,,,1,,1,1,1,3,1,,,
6,,,,1,2,3,14,1,1,,,,1,,,,1,,,,,
3,2,1,,1,1,,,19,4,,,,,,,,,,,,,2
3,1,1,,,1,,,3,12,3,2,,1,,,,,,,,1,1
2,,1,4,,,,,1,2,11,2,,,,,,,,,,,
1,1,2,,1,,1,,1,4,3,7,,,,,,,,,,1,
2,,1,1,2,5,,,1,,1,,12,8,,,,,1,,,,
5,,1,,,2,,,,,1,1,3,12,1,1,,,1,1,1,,
3,,1,,,1,,,1,,,,1,1,6,,,,,,,,
4,,,,,5,,,,,,,1,2,7,4,4,1,,1,,,
3,2,,,,6,1,2,,2,,,1,,1,1,24,1,1,1,,,
3,1,1,1,1,2,8,1,,1,,,,,,3,1,11,6,1,,,
2,,,,,,,,,,,,,,,,,1,7,2,1,,
3,,,,,1,,1,1,,,,,,,,,2,3,7,,,
2,,,,1,,,5,1,,,,,,,,,1,,,2,,
4,,1,,,,1,1,1,,,,,,,,,,,,,5,
4,,1,,,,,,4,4,1,,,,,,,,,,,1,7
